solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
liblinear,l1,False,0.30588973697999694,83.16547417099655,False,6.758828364797037,988,auto,,,2019,0,True,,0.8078860090897924,0.09103614750972672,0.15836830581151357,0.023703989207939872,0,0.23205208778381348,"./updated_trained_models/logisticRegression_census_8_liblinear_l1_False_0.30588973697999694_83.16547417099655_False_6.758828364797037_988_auto_None_None_2019_0_True_None.pkl"
sag,l2,False,0.32651336924871305,61.84453228442555,True,3.8749324005056227,1033,auto,,,2019,0,True,,0.808991524382754,0.06320501157438978,0.09766444667457347,0.028745576474206093,1,0.30864572525024414,"./updated_trained_models/logisticRegression_census_8_sag_l2_False_0.32651336924871305_61.84453228442555_True_3.8749324005056227_1033_auto_None_None_2019_0_True_None.pkl"
liblinear,l2,False,0.5455322919105575,4.993769241153807,False,0.3341263337287497,1015,ovr,,,2019,0,True,,0.7565409654833558,0.0,0.0,0.0,2,0.3720529079437256,"./updated_trained_models/logisticRegression_census_8_liblinear_l2_False_0.5455322919105575_4.993769241153807_False_0.3341263337287497_1015_ovr_None_None_2019_0_True_None.pkl"
