solver,penalty,dual,tol,C,fit_intercept,intercept_scaling,max_iteration,multi_class,l1_ratio,class_weight,random_state,verbose,warm_start,n_jobs,score,AOD,TPR,FPR,counter,timer,write_file
sag,l2,False,0.8079471203846263,59.75685296954281,False,7.781969558606531,956,multinomial,,,2019,0,True,,0.8811819870830753,0.02230394809524558,0.038582482801549745,0.006025413388941414,0,0.3144550323486328,"./updated_trained_models/logisticRegression_bank_1_sag_l2_False_0.8079471203846263_59.75685296954281_False_7.781969558606531_956_multinomial_None_None_2019_0_True_None.pkl"
lbfgs,l2,False,0.0001,10.0,False,1.0,1000,ovr,,,2019,0,False,,0.8955144651862338,0.012275663898738907,0.0179658070124602,0.006585520785017614,1,1.2166173458099365,"./updated_trained_models/logisticRegression_bank_1_lbfgs_l2_False_0.0001_10.0_False_1.0_1000_ovr_None_None_2019_0_False_None.pkl"
liblinear,l1,False,0.2571872534617089,41.35040354999318,False,7.402887921172063,1021,ovr,,,2019,0,False,,0.8886136423958241,0.029682904981548703,0.05098897796666557,0.008376831996431834,2,1.3201193809509277,"./updated_trained_models/logisticRegression_bank_1_liblinear_l1_False_0.2571872534617089_41.35040354999318_False_7.402887921172063_1021_ovr_None_None_2019_0_False_None.pkl"
