criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,7,3,1,0.0,,2019,,0.0,0.0,,0.0,0.8525979609384596,0.04052187950295243,0.06006523127451879,0.02097852773138607,0,0.25920963287353516,"./updated_trained_models/decisionTree_census_8_gini_best_7_3_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,15,4,5,0.0,,2019,,0.0,0.0,,0.0,0.8399459525856774,0.04587830318786066,0.04194986771279996,0.04980673866292136,1,0.358628511428833,"./updated_trained_models/decisionTree_census_8_gini_best_15_4_5_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,15,3,2,0.13716282804600957,log2,2019,,0.0,0.0,,0.1569921191170973,0.7565409654833558,0.0,0.0,0.0,2,0.41451168060302734,"./updated_trained_models/decisionTree_census_8_gini_best_15_3_2_0.13716282804600957_log2_2019_None_0.0_None_0.1569921191170973.pkl"
