criterion,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,max_leaf_nodes,min_impurity_decrease,bootstrap,oob_score,warm_start,n_estimators,ccp_alpha,max_samples,random_state,verbose,n_jobs,min_impurity_split,score,AOD,TPR,FPR,counter,timer,write_file
entropy,,2,3,0.06569323715242596,,,0.0,True,True,True,73,0.0,,2019,0,,,0.8817128196054145,0.042842412497919376,0.07751913025746698,0.008165694738371768,0,2.386899471282959,"./updated_trained_models/randomForest_bank_1_entropy_None_2_3_0.06569323715242596_None_None_0.0_True_True_True_73_0.0_None_2019_0_None_None.pkl"
gini,17,2,1,0.0,,,0.0,True,False,False,100,0.0,,2019,0,,,0.9001150137131735,0.010068179040943849,0.018137523208517137,0.0019988348733705613,1,9.111974477767944,"./updated_trained_models/randomForest_bank_1_gini_17_2_1_0.0_None_None_0.0_True_False_False_100_0.0_None_2019_0_None_None.pkl"
gini,7,3,4,0.047273226545475604,log2,,0.0,True,True,True,50,0.0,,2019,0,,,0.8827744846500929,0.0,0.0,0.0,2,9.91561484336853,"./updated_trained_models/randomForest_bank_1_gini_7_3_4_0.047273226545475604_log2_None_0.0_True_True_True_50_0.0_None_2019_0_None_None.pkl"
