criterion,splitter,max_depth,min_samples_split,min_samples_leaf,min_weight_fraction_leaf,max_features,random_state,max_leaf_nodes,min_impurity_decrease,min_impurity_split,class_weight,ccp_alpha,score,AOD,TPR,FPR,counter,timer,write_file
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8051836383736641,0.06732827575833215,0.03656572555737825,0.09809082595928606,0,0.2909669876098633,"./updated_trained_models/decisionTree_census_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
gini,best,,2,1,0.0,,2019,,0.0,0.0,,0.0,0.8051836383736641,0.06732827575833215,0.03656572555737825,0.09809082595928606,1,0.4022529125213623,"./updated_trained_models/decisionTree_census_9_gini_best_None_2_1_0.0_None_2019_None_0.0_None_0.0.pkl"
entropy,random,,3,5,0.329706872043997,,2019,,0.0,0.0,,0.028945681327712598,0.7565409654833558,0.0,0.0,0.0,2,0.4566168785095215,"./updated_trained_models/decisionTree_census_9_entropy_random_None_3_5_0.329706872043997_None_2019_None_0.0_None_0.028945681327712598.pkl"
